,command,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation
76,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Sector,10,0.08,1.97,0.84,56.13,Weight is well distributed over instruments.,1.6,-1
77,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Market,10,0.08,1.77,0.8,56.49,Weight is well distributed over instruments.,1.53,-1
78,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Subindustry,10,0.01,2.12,0.82,54.67,Weight is well distributed over instruments.,1.59,-1
79,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Industry,10,0.01,1.95,0.78,55.46,Weight is well distributed over instruments.,1.56,-1
80,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Sector,10,0.01,1.97,0.84,56.13,Weight is well distributed over instruments.,1.58,-1
81,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Market,10,0.01,1.78,0.81,56.5,Weight is well distributed over instruments.,1.52,-1
82,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Subindustry,10,0.08,2.12,0.82,54.67,Weight is well distributed over instruments.,1.59,-1
83,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Sector,10,0.08,1.97,0.84,56.13,Weight is well distributed over instruments.,1.58,-1
84,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 8))))",Market,10,0.08,1.78,0.81,56.5,Weight is well distributed over instruments.,1.52,-1
85,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Subindustry,10,0.01,2.09,0.8,54.66,Weight is well distributed over instruments.,1.56,-1
86,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Industry,10,0.01,1.92,0.77,55.44,Weight is well distributed over instruments.,1.54,-1
87,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Sector,10,0.01,1.94,0.83,56.12,Weight is well distributed over instruments.,1.55,-1
88,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Market,10,0.01,1.77,0.8,56.49,Weight is well distributed over instruments.,1.5,-1
89,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Subindustry,10,0.08,2.09,0.8,54.66,Weight is well distributed over instruments.,1.56,-1
90,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Sector,10,0.08,1.94,0.83,56.12,Weight is well distributed over instruments.,1.55,-1
91,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 13))))",Market,10,0.08,1.77,0.8,56.49,Weight is well distributed over instruments.,1.5,-1
92,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 21))))",Subindustry,10,0.01,2.07,0.79,54.66,Weight is well distributed over instruments.,1.56,-1
